date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-10-27,20.1,15.33,16.39,12.7,,,99,86.1,83,67,15.3,13.2,13.2,11.1,15,8.21,7.5,0,,,102.05,101.64,101.6,101.15,101.8,101.37,101.35,100.9,16100,14609,10050,4000,2.8,1.9,2,1.1,1.6,0,11.4,9.4,6.4,2.4,,,,08:00:00,1698404400,8,18:21:00,1698441660,18.35,10.35,2,2,20,20,12,12,,4,3.9,3.5,3,,,,,,,,
2023-10-26,19.4,15.17,14.05,8.7,,,100,86.7,83.5,67,14.8,12.9,12.2,9.7,13,4.38,6.5,0,,,102.12,101.98,101.93,101.73,101.87,101.71,101.68,101.48,24100,16129.2,12450,800,2.5,1.9,1.8,1,4,0,9.1,7,4,0,,,,07:58:00,1698317880,7.97,18:22:00,1698355320,18.37,10.4,3,3,20,20,11,11,,4,2.7,2,0,,,,,,,,
2023-10-25,16.2,11.23,9.94,3.7,,,99,86,83.5,68,12.1,8.9,8.6,5,24,11.62,12,0,32,21,102.35,101.96,101.93,101.51,102.09,101.7,101.67,101.26,16100,15362.5,8850,1600,2.1,1.5,1.6,1,8.1,0,4.9,2.9,0,0.2,0.4,0,0,07:57:00,1698231420,7.95,18:24:00,1698269040,18.4,10.45,3,3,16,16,10,10,,4,3.4,2,0,,,,,,,,
2023-10-24,13.3,5.03,5.4,-2.5,,-5,98,82.7,74.5,51,5.1,1.8,1.4,-2.3,24,9.42,12,0,35,23,102.75,102.51,102.53,102.32,102.49,102.25,102.27,102.06,16100,15462.5,8450,800,1.8,1.3,1.4,1,12.6,0,0.4,0,0,0,0,0,0,07:55:00,1698144900,7.92,18:26:00,1698182760,18.43,10.52,3,3,13,13,2,2,,4,1,2,0,,,,,,,,
2023-10-23,11.8,7.02,5.55,-0.7,,,98,80.1,73,48,7,3.5,3.6,0.2,24,11.25,12,0,28,36,102.27,101.41,101.4,100.53,102.01,101.16,101.14,100.28,16100,16100,16100,16100,1.8,1.5,1.5,1.2,12.4,0,0.6,0,0,0,0,0,0,07:54:00,1698058440,7.9,18:27:00,1698096420,18.45,10.55,2,2,10,10,-2,-2,,4,2.4,2,0,,,,,,,,
2023-10-22,13.1,10.84,10.19,7.3,,,98,92.6,89,80,11.3,9.7,9.3,7.3,22,12,13,4,33,34,100.49,99.16,99.26,98.04,100.24,98.92,99.02,97.8,16100,15095.8,10450,4800,1.9,1.6,1.6,1.3,7.8,0,5.2,3.2,0.2,15.4,,,,07:53:00,1697971980,7.88,18:29:00,1698010140,18.48,10.6,1,2,13,13,4,4,,4,4,4,4,,,,,,,,
2023-10-21,16.5,13.73,13.9,11.3,,,99,93.3,89.5,80,13.6,12.7,12.8,11.9,26,15.17,15.5,5,45,4,100.74,99.39,99.42,98.1,100.49,99.14,99.17,97.86,16100,14829.2,11250,6400,2,1.6,1.6,1.3,4.1,0,8.9,6.9,3.9,30.5,,,,07:51:00,1697885460,7.85,18:31:00,1697923860,18.52,10.67,3,3,15,15,10,11,,4,4,4,4,,,,,,,,
2023-10-20,17.5,12.91,13.85,10.2,,,98,84.2,80.5,63,12.4,10.2,9.9,7.4,32,14.62,18.5,5,48,18,101.68,101.36,101.27,100.86,101.43,101.11,101.02,100.61,16100,16100,16100,16100,2.2,1.8,1.9,1.6,4.2,0,8.8,6.8,3.8,2.7,,,,07:50:00,1697799000,7.83,18:32:00,1697837520,18.53,10.7,3,3,17,17,11,11,,4,3.8,3.5,3,,,,,,,,
2023-10-19,16.4,10.07,11.35,6.3,,,98,83.6,75.5,53,8.9,7.1,7.2,5.4,17,9.04,10.5,4,33,23,101.96,101.81,101.81,101.65,101.7,101.56,101.55,101.4,16100,16100,16100,16100,2.1,1.4,1.6,1,6.7,0,6.3,4.3,1.4,0,0,0,0,07:48:00,1697712480,7.8,18:34:00,1697751240,18.57,10.77,3,3,14,16,9,9,,4,3.5,2,0,,,,,,,,
2023-10-18,16.2,8.45,8.79,1.4,,,99,82.2,73,47,7.5,5.1,4.5,1.5,18,8.58,9,0,33,21,102.05,101.91,101.84,101.63,101.79,101.65,101.58,101.38,16100,14508.3,8450,800,1.8,1.3,1.4,1,9.2,0,3.8,1.8,0,0,0,0,0,07:47:00,1697626020,7.78,18:36:00,1697664960,18.6,10.82,3,3,14,14,5,5,,4,2.4,2,0,,,,,,,,
2023-10-17,11.2,7.97,7.75,4.3,,,98,84.4,80,62,8,5.3,5.8,3.6,15,7.62,7.5,0,,,101.6,101.1,101.1,100.6,101.35,100.85,100.85,100.35,16100,16100,16100,16100,1.6,1.4,1.4,1.2,10.2,0,2.8,0.8,0,0,,,,07:46:00,1697539560,7.77,18:37:00,1697578620,18.62,10.85,3,3,11,11,3,3,,4,3.6,2.5,1,,,,,,,,
