X,Y,OBJECTID,Location,RouteName,Type_1,StopSurface,Sidewalk,Name,SharedSignage,Additional,Garbage,Bench,SignCondition,PoleCondition,NumberSigns,Shelter,ShelterCondition,Accessibility,WidthSidewalk,SnowRemoval,GlobalID,Route_s
-66.63028713,46.01368444,1,Killarney Lake Lodge,12N Brookside/ 13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,1,No,,No,No,Good,Other,1,,,Level 1: ADA Compliant,,,{B6C773D6-7F25-4B93-8A14-C711263C0745},12 & 13
-66.63282428,46.01216142,2,1265 Brookside,13S Prospect,Standard on Metal Pole,Gravel,No,2,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{C38E340D-8484-44DE-8E00-20FCD9928144},13
-66.64048813,46.00858644,3,Julien,13S Prospect,Standard on Wooden Pole,Dirt,No,4,No,,No,No,Good,Other,1,,,Level 3: Not Accessible,,,{0BBC872A-E356-4BB3-B74E-4B0DB24BA96E},13
-66.63753113,46.00669144,4,1037 Brookside,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,5,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{409D94EF-BDCD-4A87-8F1E-B7FB04E0AEB3},13
-66.64241913,46.00110144,5,Brookside & Heron,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,6,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{15D7C408-E0DB-41B9-91E8-334EFE86EB31},13
-66.64503414,45.99816144,6,665 Brookside,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,7,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{9D25F7E3-6E03-4F79-B507-2BDA030A858C},13
-66.64603924,45.99696447,7,641 Brookside,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,8,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{1B63A358-51A1-4A04-BEAF-A1C77589AAFA},13
-66.64903644,45.99493922,8,8 Terrance,13S Prospect,Standard on Metal Pole,Concrete,Yes Boulevard,9,Yes,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{623B4C61-538D-4277-9DE9-A56AB89E6606},13
-66.6506704,45.9956686,9,88 Terrance,13S Prospect,Standard on Metal Pole,Concrete,Yes Boulevard,10,Yes,,No,No,Good,Good,2,Other,,Level 1: ADA Compliant,,,{B40BCE21-64D7-4D7A-B9E0-0572EB48D433},13
-66.65281686,45.99659044,10,Terrance & Stairs,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,11,Yes,,No,No,Good,Good,2,,,Level 3: Not Accessible,,,{192EE25A-1A6B-46AC-87FE-2FEE7D3436DC},13
-66.65441814,45.99530244,11,Jeremy & Stairs,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,13,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{72B3CADD-1ACF-418E-BE0C-C5469C57374F},13
-66.65480014,45.99359744,12,Brookside Mall on McKnight,13S Prospect,Shelter,Concrete,Yes Boulevard,14,No,Retake photo,No,Yes,Good,,1,Metal,Fair,Level 1: ADA Compliant,,RO,{9253D780-F92D-475E-AE53-06946B74B5F0},13
-66.65610167,45.99164197,13,95 McKnight,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,15,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,RO,{4895915E-B866-4469-ABBD-F11AA2C9BEFA},13
-66.65816011,45.99170973,14,187 McKnight,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,16,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{BC6DD7FA-4858-435A-9079-3968FD4C2210},13
-66.66058514,45.99190444,15,235 McKnight,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,17,Yes,,No,No,Good,Good,3,,,Level 3: Not Accessible,,RO,{B9B04EF7-0EF8-4F63-BDE4-4D6E0668E379},13
-66.66345531,45.99137489,16,Barton & Jennings,13S Prospect,Standard on Metal Pole,Dirt,No,18,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,RO,{1464F007-728D-4C81-91A6-9969A48041C8},13
-66.66544966,45.99154447,17,9 Barton,13S Prospect,Standard on Metal Pole,Dirt,No,19,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,RO,{31DE1724-03DF-403A-998E-809A886D5C33},13
-66.66485551,45.98823223,18,57 Royal,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,20,Yes,Retake,No,No,Good,Good,3,,,Level 2: Accessible,,RO,{D767A5A0-CC9D-46C1-A9D3-01390BCE9D05},13
-66.66459873,45.9870704,19,45 Royal,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,21,No,,No,Yes,Good,Good,1,,,Level 2: Accessible,,RO,{281E294D-0A65-4B0F-8A49-D3AD5DE60B12},13
-66.66343812,45.98567395,20,14 Hawkins,13S Prospect,Shelter,Concrete,No,23,No,,No,Yes,Good,Fair,1,Metal,Good,Level 1: ADA Compliant,,,{6A120695-635D-44D9-AB9F-C30D9CDCDBA7},13
-66.65990895,45.98473517,21,52 Hawkins,13S Prospect,Standard on Metal Pole,Dirt,No,24,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{1F4B8757-CD1C-4860-B072-CD4F2323978C},13
-66.65692714,45.98405344,22,156 Brookside,13S Prospect,Standard on Metal Pole,Concrete,No,26,No,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{E78076ED-40C8-4B97-A2CF-17B1AEAC42A4},13
-66.65589821,45.98562345,23,196 Brookside,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,27,Yes,,No,No,Good,Good,3,,,Level 1: ADA Compliant,,,{8CC9B861-6B0B-427F-B033-4821B8855DFA},13
